Community,House_type,Listing_price,Sigma_estimate,Sold_price,Bedroom,Washroom,Parking,Tax,Maintenance,Size,Days_on_market,Exposure,heat,water,hydro,Size_cat
Church-Yonge Corridor - Toronto,Condo Apt,648999,656907,630000.0,1.0,1,0,2393.0,458.0,570.0,7,W,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,599000,634121,600000.0,1.0,1,0,1995.0,364.0,500.0,7,S,0,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,699990,716364,750000.0,1.33,1,1,1.0,595.0,700.0,12,S,0,0,0,"[700, 800)"
Oakwood-Vaughan - Toronto,Condo Apt,689900,705330,667000.0,2.33,2,0,2513.7818181818184,528.0,800.0,29,S,1,0,0,"[800, 900)"
Mount Pleasant West - Toronto,Condo Apt,575000,587783,550000.0,1.0,1,0,2360.0,379.0,0.0,30,E,1,1,0,"[0, 500)"
Bay Street Corridor - Toronto,Condo Apt,650000,661695,631500.0,1.0,1,1,2561.0,559.0,600.0,154,S,1,1,1,"[600, 700)"
Moss Park - Toronto,Condo Apt,698000,719723,800000.0,2.0,1,1,2957.0,515.0,800.0,0,E,1,1,0,"[800, 900)"
Niagara - Toronto,Condo Apt,639900,645618,660000.0,1.33,1,1,2195.0,587.0,600.0,1,S,1,1,1,"[600, 700)"
Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,559000,568214,630000.0,1.33,1,1,1871.0,420.0,600.0,1,N,1,1,0,"[600, 700)"
Bay Street Corridor - Toronto,Condo Apt,559000,543077,538898.0,0.0,1,1,1919.0,417.0,500.0,1,W,1,1,1,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,559000,572458,565500.0,1.0,1,0,2189.0,352.0,500.0,1,N,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,629000,642379,656000.0,1.33,1,1,1902.0,468.0,600.0,5,W,1,1,0,"[600, 700)"
Rosedale-Moore Park - Toronto,Condo Apt,569000,599512,645000.0,1.33,1,0,2543.0,629.0,800.0,5,W,0,1,0,"[800, 900)"
Little Portugal - Toronto,Condo Apt,650000,678628,726100.0,2.0,2,1,2285.0,505.0,600.0,5,SW,1,1,0,"[600, 700)"
Regent Park - Toronto,Condo Apt,629999,671910,825000.0,2.0,2,1,2729.0,525.0,800.0,6,NE,1,1,0,"[800, 900)"
Niagara - Toronto,Condo Apt,599900,652065,765000.0,2.0,2,1,2297.0,463.0,700.0,6,E,1,1,0,"[700, 800)"
Rockcliffe-Smythe - Toronto,Detached,699900,835749,805000.0,1.33,2,0,2369.0,484.4277620396601,607.1553398058253,7,S,0,0,0,"[600, 700)"
Trinity-Bellwoods - Toronto,Condo Apt,649000,686849,810000.0,1.0,1,1,2351.0,514.0,600.0,7,E,1,1,0,"[600, 700)"
Regent Park - Toronto,Condo Apt,599000,623054,703000.0,1.0,1,0,1925.0,392.0,600.0,7,NE,0,1,0,"[600, 700)"
University - Toronto,Condo Apt,569900,591894,651000.0,1.33,1,0,2651.0,481.0,700.0,7,W,1,0,0,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,649000,676009,750000.0,1.33,1,1,2693.0,672.0,800.0,8,W,1,1,0,"[800, 900)"
Niagara - Toronto,Condo Apt,679900,684742,670000.0,1.33,1,0,2273.0,369.0,600.0,10,E,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,679888,694873,658000.0,1.33,1,1,2500.0,460.0,600.0,11,NW,1,1,0,"[600, 700)"
Niagara - Toronto,Condo Apt,665000,661036,705000.0,1.33,1,1,2231.0,448.0,600.0,12,N,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,689900,706947,700000.0,1.33,1,1,2339.0,528.0,700.0,18,W,1,1,1,"[700, 800)"
Regent Park - Toronto,Condo Apt,665000,665412,650000.0,1.33,2,1,2063.0,539.0,600.0,26,W,1,1,0,"[600, 700)"
Bay Street Corridor - Toronto,Condo Apt,598800,605065,580000.0,1.33,1,1,1943.0,479.0,500.0,48,N,1,1,1,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,589000,597216,578000.0,1.0,1,0,1806.0,376.0,500.0,47,W,1,1,0,"[500, 600)"
Kensington-Chinatown - Toronto,Condo Apt,588000,614148,630000.0,1.0,1,0,2243.0,369.0,0.0,70,N,1,1,0,"[0, 500)"
Moss Park - Toronto,Condo Apt,629000,634180,620000.0,1.33,1,0,2197.8396946564885,320.0,500.0,82,NW,1,1,0,"[500, 600)"
Bay Street Corridor - Toronto,Condo Apt,629000,640788,612000.0,1.0,1,0,2400.0,670.0,700.0,165,SW,1,1,1,"[700, 800)"
Niagara - Toronto,Condo Apt,699999,733426,736474.0,1.33,2,1,2387.0,428.0,700.0,0,S,1,1,0,"[700, 800)"
Weston - Toronto,Condo Townhouse,599900,714173,631101.0,3.0,3,1,1887.0,538.0,1400.0,0,S,0,1,0,"[1100, 1500)"
Little Portugal - Toronto,Condo Apt,650000,668328,650000.0,2.0,1,1,1008.0,519.0,700.0,0,E,1,1,0,"[700, 800)"
Mount Pleasant West - Toronto,Condo Apt,595000,622464,595000.0,1.33,1,0,2297.0,389.0,500.0,1,E,0,0,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,550000,556829,560000.0,1.0,1,0,1637.0,406.0,533.0,1,W,1,1,1,"[500, 600)"
Bay Street Corridor - Toronto,Condo Apt,649000,657053,660000.0,1.0,1,1,2321.0,680.0,600.0,2,NW,1,1,0,"[600, 700)"
Waterfront Communities C8 - Toronto,Condo Apt,619000,618445,615000.0,1.0,1,0,2317.0,436.0,600.0,3,W,0,0,0,"[600, 700)"
Mount Pleasant West - Toronto,Condo Apt,649900,662241,685000.0,1.0,1,1,2507.0,513.0,600.0,3,NE,1,1,0,"[600, 700)"
Niagara - Toronto,Condo Apt,649900,655795,655000.0,1.0,1,1,2141.0,521.0,600.0,4,NW,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,668000,681915,694000.0,2.33,1,0,2303.0,466.0,700.0,7,NW,1,1,0,"[700, 800)"
South Riverdale - Toronto,Condo Apt,699000,726846,875000.0,2.0,2,1,2424.046979865772,553.0,700.0,4,NE,0,1,0,"[700, 800)"
Bay Street Corridor - Toronto,Condo Apt,699900,721221,700000.0,2.33,2,1,2278.0,1086.0,1000.0,6,SW,1,1,0,"[1000, 1100)"
Waterfront Communities C1 - Toronto,Condo Apt,599000,618182,631000.0,1.33,1,0,1985.0,403.0,500.0,6,E,0,1,0,"[500, 600)"
Niagara - Toronto,Condo Townhouse,649900,725634,789000.0,1.33,2,2,2789.0,477.0,700.0,7,S,0,1,0,"[700, 800)"
Casa Loma - Toronto,Condo Apt,629900,616072,629900.0,1.0,1,1,2387.0,608.0,500.0,6,SE,1,1,0,"[500, 600)"
Niagara - Toronto,Condo Apt,599000,626959,710500.0,1.0,1,1,2261.0,421.0,600.0,7,SW,0,1,0,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,589000,615253,668000.0,1.33,1,1,2315.0,723.0,700.0,8,W,1,1,1,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,699000,732163,733900.0,1.33,2,1,2393.0,477.0,700.0,7,E,0,1,0,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,569900,567154,585000.0,1.0,1,1,1871.0,419.0,510.0,7,W,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,698800,727170,690000.0,2.0,2,0,2386.0,901.0,800.0,8,S,1,1,0,"[800, 900)"
Waterfront Communities C1 - Toronto,Condo Apt,550000,561489,535000.0,0.0,1,0,2297.0,320.0,0.0,11,NW,1,1,0,"[0, 500)"
Casa Loma - Toronto,Condo Apt,659000,647859,659000.0,1.33,1,1,2717.0,562.0,600.0,11,N,1,0,0,"[600, 700)"
Waterfront Communities C8 - Toronto,Condo Apt,588800,613861,605000.0,1.0,1,0,2399.0,429.0,600.0,12,SW,0,0,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,599990,621923,677888.0,1.0,1,1,2369.0,447.0,500.0,12,E,1,1,0,"[500, 600)"
Little Portugal - Toronto,Condo Apt,614999,619881,607500.0,2.0,2,1,2015.0,511.0,600.0,18,W,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,669000,671679,650000.0,1.0,1,1,2279.0,555.0,500.0,56,S,1,1,0,"[500, 600)"
Bay Street Corridor - Toronto,Condo Apt,579000,579484,570000.0,1.0,1,0,1889.0,543.0,600.0,99,NE,1,1,1,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,699900,704630,705888.0,1.33,1,0,1277.0,477.0,600.0,1,N,1,0,0,"[600, 700)"
Mount Pleasant West - Toronto,Condo Apt,569800,565950,569800.0,1.0,1,0,1854.0,321.0,500.0,1,E,1,1,0,"[500, 600)"
Junction Area - Toronto,Condo Apt,629900,654000,665000.0,2.0,2,0,2476.0,392.0,800.0,2,N,0,1,0,"[800, 900)"
Moss Park - Toronto,Condo Apt,599900,618746,610000.0,1.33,1,1,2093.0,484.0,600.0,3,N,1,1,1,"[600, 700)"
Niagara - Toronto,Condo Apt,584900,599383,650000.0,1.33,1,0,2021.0,443.0,600.0,3,E,1,1,0,"[600, 700)"
Niagara - Toronto,Condo Apt,698000,729282,790000.0,2.0,2,1,2489.0,599.0,800.0,4,NE,1,1,0,"[800, 900)"
Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,579000,595671,595000.0,1.0,1,1,1865.0,432.0,600.0,6,S,1,1,0,"[600, 700)"
University - Toronto,Condo Apt,589000,589049,588000.0,1.0,1,0,2267.0,388.0,500.0,5,S,1,1,0,"[500, 600)"
Dovercourt-Wallace Emerson-Junction - Toronto,Condo Townhouse,689000,799337,841500.0,2.33,2,1,2417.0,341.0,800.0,7,N,0,1,0,"[800, 900)"
Crescent Town - Toronto,Condo Apt,559888,571163,549000.0,3.0,2,1,1140.0,861.0,1200.0,9,SE,1,1,1,"[1100, 1500)"
Waterfront Communities C1 - Toronto,Condo Apt,569000,574444,600000.0,1.0,1,0,2243.0,279.0,500.0,1,E,1,1,0,"[500, 600)"
Niagara - Toronto,Condo Apt,559900,584001,581000.0,1.33,1,1,2027.0,560.0,670.0,2,E,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,599000,612537,615000.0,1.0,1,0,2170.0,348.0,500.0,3,SE,1,1,0,"[500, 600)"
South Riverdale - Toronto,Condo Apt,589000,595435,590000.0,1.0,1,0,1787.0,364.0,500.0,1,E,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,599000,616546,665000.0,1.33,1,1,2081.0,492.0,600.0,1,SW,1,1,0,"[600, 700)"
Moss Park - Toronto,Condo Apt,629888,643439,633000.0,1.33,2,0,2099.0,409.0,600.0,2,N,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,639000,643490,682000.0,1.33,1,1,2117.0,381.0,600.0,3,NW,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,655000,656350,660000.0,1.0,1,0,2447.0,490.0,600.0,3,N,1,1,0,"[600, 700)"
Niagara - Toronto,Condo Apt,569900,593095,661000.0,1.33,1,0,2363.0,282.0,600.0,7,W,1,0,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,609900,610379,602000.0,1.0,1,1,2177.0,399.0,600.0,8,W,0,0,0,"[600, 700)"
Waterfront Communities C8 - Toronto,Condo Apt,629000,645221,652000.0,1.0,1,0,2315.0,400.0,500.0,9,SE,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,638888,650734,701000.0,1.33,1,1,2207.0,591.0,700.0,8,NE,1,1,1,"[700, 800)"
Crescent Town - Toronto,Condo Apt,579900,584291,560000.0,3.0,2,1,1079.0,856.0,1000.0,14,W,1,1,1,"[1000, 1100)"
Moss Park - Toronto,Condo Apt,639000,654512,639000.0,1.33,1,1,2317.0,506.0,600.0,14,W,1,1,0,"[600, 700)"
Mount Pleasant West - Toronto,Condo Apt,644800,647930,640000.0,1.33,1,0,2483.0,412.0,600.0,15,N,1,1,0,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,499000,547710,559500.0,1.0,1,0,1535.0,323.0,0.0,16,N,1,1,0,"[0, 500)"
Junction Area - Toronto,Condo Apt,689900,728977,680000.0,1.0,1,0,2447.0,524.0,700.0,18,W,0,1,0,"[700, 800)"
High Park-Swansea - Toronto,Condo Apt,599999,607582,587000.0,1.33,1,1,1787.0,515.0,700.0,21,NE,1,1,0,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,699900,715642,654000.0,1.0,1,1,2291.0,662.0,700.0,27,W,1,1,1,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,709000,694795,694000.0,1.0,1,0,2225.0,425.0,500.0,65,E,1,1,0,"[500, 600)"
Church-Yonge Corridor - Toronto,Condo Apt,599000,617136,690500.0,1.33,1,0,2453.0,367.0,500.0,0,N,1,0,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,699000,707768,699000.0,1.33,1,1,2591.0,688.0,600.0,1,SE,1,1,0,"[600, 700)"
Niagara - Toronto,Condo Apt,648000,662995,653000.0,1.33,1,1,2033.0,499.0,600.0,1,NW,1,1,0,"[600, 700)"
Mount Pleasant West - Toronto,Condo Apt,599900,618497,650000.0,1.0,1,1,2482.0,549.0,600.0,1,S,1,1,0,"[600, 700)"
Mount Dennis - Toronto,Condo Townhouse,699000,774995,796000.0,3.0,4,1,2417.0,133.0,1400.0,1,E,0,0,0,"[1100, 1500)"
Waterfront Communities C1 - Toronto,Condo Apt,569900,576624,615000.0,1.33,1,1,1997.0,665.0,700.0,2,W,1,1,0,"[700, 800)"
Moss Park - Toronto,Condo Apt,599900,618192,640000.0,1.33,1,0,2339.0,464.0,600.0,2,W,1,1,0,"[600, 700)"
Regent Park - Toronto,Condo Apt,574900,578426,570000.0,1.0,1,1,1859.0,483.0,500.0,2,E,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,575000,580965,572000.0,1.0,1,0,1781.0,356.0,500.0,4,N,1,1,0,"[500, 600)"
Bay Street Corridor - Toronto,Condo Apt,649900,661084,655000.0,1.0,1,1,2543.0,751.0,700.0,6,NW,1,1,1,"[700, 800)"
Niagara - Toronto,Condo Apt,635000,656891,707000.0,2.0,1,1,2549.0,641.0,700.0,3,E,1,1,0,"[700, 800)"
Church-Yonge Corridor - Toronto,Condo Apt,699000,701599,750000.0,1.33,1,0,2537.0,381.0,500.0,5,S,0,0,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,614900,618467,685000.0,1.33,1,1,2069.0,370.0,700.0,7,S,1,1,0,"[700, 800)"
Roncesvalles - Toronto,Condo Apt,649000,706656,649000.0,1.0,1,0,2411.0,434.0,500.0,8,E,0,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,614900,607887,590000.0,1.0,1,1,2045.0,490.0,500.0,8,N,1,1,1,"[500, 600)"
Mount Pleasant West - Toronto,Condo Apt,635000,633856,650000.0,1.33,1,0,2009.0,346.0,500.0,9,S,0,0,0,"[500, 600)"
Church-Yonge Corridor - Toronto,Condo Apt,650000,677147,660000.0,1.0,2,1,2197.8396946564885,453.0,500.0,10,N,1,1,0,"[500, 600)"
Rockcliffe-Smythe - Toronto,Condo Townhouse,559900,602769,575000.0,2.0,2,1,1660.0,572.0,800.0,15,S,0,1,0,"[800, 900)"
Waterfront Communities C1 - Toronto,Condo Apt,629000,628441,625000.0,1.0,1,0,1931.0,404.0,500.0,15,SW,1,0,0,"[500, 600)"
Mount Pleasant West - Toronto,Condo Apt,649900,652297,660000.0,1.33,2,0,2381.0,430.0,600.0,16,S,1,1,0,"[600, 700)"
Mount Pleasant East - Toronto,Condo Apt,628000,632593,638000.0,1.0,1,0,2435.0,381.0,600.0,31,E,1,0,0,"[600, 700)"
Cabbagetown-South St. James Town - Toronto,Condo Apt,599900,615013,581000.0,2.0,2,1,2261.0,696.0,800.0,31,S,1,1,0,"[800, 900)"
Bay Street Corridor - Toronto,Condo Apt,665000,663928,635000.0,1.0,1,1,2351.0,521.0,600.0,35,S,1,1,1,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,599000,660306,647000.0,1.0,1,1,2852.0,641.0,500.0,37,NE,1,0,0,"[500, 600)"
Mount Pleasant West - Toronto,Condo Apt,649000,646965,671000.0,1.33,1,1,2627.0,429.0,600.0,0,N,0,0,0,"[600, 700)"
Danforth Village-East York - Toronto,Semi-Detached,698888,1009591,1100000.0,3.33,2,1,3322.0,694.2727272727273,1300.0,0,W,0,0,0,"[1100, 1500)"
Waterfront Communities C1 - Toronto,Condo Apt,579000,597609,655000.0,1.33,1,1,2021.0,501.0,600.0,1,S,1,1,0,"[600, 700)"
Waterfront Communities C8 - Toronto,Condo Apt,589000,612112,685000.0,2.33,1,1,2045.0,869.0,800.0,2,S,1,1,1,"[800, 900)"
Moss Park - Toronto,Condo Apt,589900,595248,585000.0,1.0,1,1,2009.0,463.0,500.0,2,S,1,1,1,"[500, 600)"
Little Portugal - Toronto,Condo Apt,559000,567408,550000.0,2.0,1,1,1859.0,487.0,500.0,2,S,1,1,0,"[500, 600)"
Niagara - Toronto,Condo Apt,598000,615424,710000.0,1.33,1,0,2195.0,356.0,600.0,4,S,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,675000,678442,670000.0,1.33,1,1,2261.0,507.0,600.0,5,N,1,1,0,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,599000,617136,681800.0,1.33,1,0,2441.0,398.0,500.0,6,N,1,0,0,"[500, 600)"
Niagara - Toronto,Condo Apt,649000,671370,710000.0,1.33,1,1,2417.0,533.0,700.0,6,N,1,1,0,"[700, 800)"
Moss Park - Toronto,Condo Apt,599000,633222,651000.0,1.0,1,0,2291.0,569.0,700.0,7,S,1,1,1,"[700, 800)"
Moss Park - Toronto,Condo Apt,629000,639069,629000.0,1.0,1,1,2147.0,403.0,500.0,7,S,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,629000,632350,640000.0,1.33,1,1,2105.0,376.0,600.0,8,E,1,1,0,"[600, 700)"
North St. James Town - Toronto,Condo Apt,699000,742836,858000.0,2.0,2,1,3316.0,672.0,800.0,13,SW,0,1,0,"[800, 900)"
Bay Street Corridor - Toronto,Condo Apt,618000,612477,691000.0,1.0,1,0,2345.0,390.0,500.0,15,E,0,0,0,"[500, 600)"
Mount Pleasant West - Toronto,Condo Apt,629000,632387,607000.0,1.33,1,0,2615.0,277.0,600.0,42,W,0,1,0,"[600, 700)"
Bay Street Corridor - Toronto,Condo Apt,658800,666224,658800.0,1.0,1,0,2687.0,340.0,600.0,50,N,0,1,0,"[600, 700)"
Kensington-Chinatown - Toronto,Condo Apt,635000,625300,600000.0,1.0,1,0,2334.0,477.0,600.0,85,SE,1,0,0,"[600, 700)"
Niagara - Toronto,Condo Apt,589900,603313,577500.0,1.0,1,0,2165.0,401.0,600.0,133,N,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,599900,616539,680000.0,1.33,1,1,2159.0,492.0,600.0,1,N,1,1,0,"[600, 700)"
Yonge-St. Clair - Toronto,Condo Apt,599000,611051,590000.0,1.33,1,0,2530.0,544.0,600.0,1,N,0,0,0,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,570000,551535,620000.0,1.0,1,0,1763.0,372.0,0.0,4,E,1,1,0,"[0, 500)"
Waterfront Communities C8 - Toronto,Condo Apt,699900,712535,740000.0,1.33,1,1,2322.5,461.0,600.0,4,W,1,0,0,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,599000,613771,610000.0,1.33,1,0,2197.8396946564885,428.0,500.0,5,SE,0,0,0,"[500, 600)"
Moss Park - Toronto,Condo Apt,649000,683258,659000.0,1.33,2,1,2477.0,504.0,700.0,6,E,1,1,0,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,699900,716097,725000.0,1.0,1,0,2459.0,343.0,600.0,6,NW,1,1,0,"[600, 700)"
Moss Park - Toronto,Condo Apt,579900,616285,645000.0,1.33,1,1,2188.0,553.0,500.0,6,SE,1,1,0,"[500, 600)"
High Park North - Toronto,Condo Apt,699900,743468,800000.0,2.0,2,1,3041.0,754.0,800.0,7,SW,1,1,0,"[800, 900)"
Niagara - Toronto,Condo Apt,599900,648432,750000.0,2.0,2,1,2345.0,473.0,700.0,7,E,1,1,0,"[700, 800)"
North St. James Town - Toronto,Condo Apt,649900,678693,640000.0,1.33,2,0,2561.0,537.0,700.0,11,S,0,0,0,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,649900,667056,723000.0,2.0,1,1,3316.0,588.0,600.0,12,W,1,1,0,"[600, 700)"
Briar Hill-Belgravia - Toronto,Condo Apt,599900,614241,620000.0,2.0,1,1,1811.0,770.0,1000.0,13,W,1,1,1,"[1000, 1100)"
Niagara - Toronto,Condo Apt,649900,697338,635000.0,1.33,1,0,2177.0,547.0,600.0,13,E,1,1,0,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,689000,693543,680000.0,1.33,1,1,2405.0,596.0,600.0,14,W,1,1,0,"[600, 700)"
Bay Street Corridor - Toronto,Condo Apt,598000,602430,570000.0,1.0,1,0,2266.0,476.0,500.0,16,N,1,1,0,"[500, 600)"
Briar Hill-Belgravia - Toronto,Condo Apt,589000,603853,580000.0,2.0,2,1,1667.0,789.0,1000.0,19,NW,1,1,1,"[1000, 1100)"
Moss Park - Toronto,Condo Apt,649000,678118,645000.0,1.33,2,0,2267.0,448.0,700.0,20,W,1,0,0,"[700, 800)"
Mount Pleasant West - Toronto,Condo Apt,628000,631718,615000.0,1.0,1,1,2735.0,393.0,600.0,21,E,0,0,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,589000,592343,601000.0,1.0,1,1,1739.0,554.0,500.0,22,N,1,1,1,"[500, 600)"
Mount Pleasant West - Toronto,Condo Apt,609800,711345,670000.0,3.0,2,2,2260.0,1289.0,1200.0,22,SW,0,1,0,"[1100, 1500)"
Bay Street Corridor - Toronto,Condo Apt,588000,603669,553000.0,1.33,1,0,2213.0,571.0,600.0,26,W,1,1,1,"[600, 700)"
Weston-Pellam Park - Toronto,Condo Apt,699000,722676,695000.0,2.0,2,1,2513.7818181818184,587.0,800.0,43,S,0,1,0,"[800, 900)"
Church-Yonge Corridor - Toronto,Condo Apt,670000,652553,650000.0,1.0,1,0,2699.0,277.0,0.0,64,W,1,1,0,"[0, 500)"
Mount Pleasant West - Toronto,Condo Apt,600000,595495,610000.0,1.33,1,0,2197.8396946564885,350.0,500.0,98,NE,0,0,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,669900,671210,722000.0,1.33,1,1,2225.0,575.0,700.0,1,SE,1,1,1,"[700, 800)"
Church-Yonge Corridor - Toronto,Condo Apt,599000,611334,682000.0,1.0,1,1,2228.0,398.0,500.0,3,E,1,1,0,"[500, 600)"
Niagara - Toronto,Condo Apt,579900,596163,631500.0,1.33,1,0,2027.0,330.0,500.0,4,E,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,629000,641453,720000.0,1.33,1,1,2957.0,611.0,700.0,4,S,1,0,0,"[700, 800)"
Dufferin Grove - Toronto,Condo Townhouse,699000,793584,790000.0,2.33,2,1,2045.0,330.0,800.0,5,SE,0,1,0,"[800, 900)"
Church-Yonge Corridor - Toronto,Condo Apt,698880,713021,820800.0,1.33,1,1,2951.0,619.0,700.0,5,S,1,1,0,"[700, 800)"
High Park-Swansea - Toronto,Condo Apt,589000,618088,672305.0,2.0,2,1,2273.0,712.0,900.0,6,E,1,1,1,"[900, 1000)"
Moss Park - Toronto,Condo Apt,699900,721338,745000.0,1.33,1,1,2759.0,618.0,600.0,6,NW,0,1,0,"[600, 700)"
Mount Dennis - Toronto,Detached,699000,785060,876024.0,2.33,2,0,2585.0,760.2142857142857,900.0,8,W,0,0,0,"[900, 1000)"
East End-Danforth - Toronto,Condo Apt,599888,660365,725500.0,2.33,2,1,3230.0,459.0,800.0,10,E,0,1,0,"[800, 900)"
Mount Pleasant East - Toronto,Condo Apt,628800,691534,675000.0,2.0,2,1,2303.0,1031.0,1000.0,11,SW,0,1,0,"[1000, 1100)"
Yonge-St. Clair - Toronto,Condo Apt,649900,665495,680000.0,1.33,2,0,3017.0,584.0,700.0,11,S,0,0,0,"[700, 800)"
Niagara - Toronto,Condo Apt,629000,666688,720000.0,1.0,2,1,2235.0,397.0,600.0,11,W,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,499000,605276,605000.0,1.0,1,0,1983.0,359.0,0.0,13,NW,1,1,0,"[0, 500)"
Palmerston-Little Italy - Toronto,Condo Apt,685900,702788,675000.0,2.0,1,1,2429.0,647.0,600.0,16,W,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,659900,664694,645000.0,1.33,1,0,2849.0,438.0,600.0,17,S,1,1,0,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,629000,625381,650000.0,1.0,1,0,2375.0,326.0,600.0,24,NW,1,1,0,"[600, 700)"
Mount Pleasant West - Toronto,Condo Apt,660000,655830,640000.0,1.33,2,0,2408.0,407.0,600.0,24,NE,1,1,0,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,599900,605340,585000.0,1.33,1,0,2062.0,644.0,600.0,28,S,1,1,0,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,620000,616512,619000.0,1.0,1,0,2302.0,399.0,500.0,30,E,1,1,0,"[500, 600)"
Mount Pleasant West - Toronto,Condo Apt,625000,615943,605000.0,1.33,1,1,2405.0,483.0,600.0,31,S,1,0,0,"[600, 700)"
Bay Street Corridor - Toronto,Condo Apt,659800,673596,665800.0,1.0,2,1,2219.0,726.0,700.0,42,SW,1,1,1,"[700, 800)"
Little Portugal - Toronto,Condo Apt,599999,576182,565000.0,2.0,2,1,1811.0,499.0,500.0,145,E,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,675000,677441,640000.0,1.33,1,0,2357.0,507.0,600.0,167,N,1,1,0,"[600, 700)"
Waterfront Communities C8 - Toronto,Condo Apt,599000,619709,658000.0,1.0,1,0,2141.0,484.0,600.0,2,SE,1,1,0,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,649000,646945,680000.0,1.0,1,0,2273.0,339.0,500.0,2,W,1,1,0,"[500, 600)"
Moss Park - Toronto,Condo Apt,699999,731902,780000.0,2.0,2,1,2663.0,509.0,700.0,4,W,1,1,0,"[700, 800)"
Church-Yonge Corridor - Toronto,Condo Apt,699000,713322,838000.0,1.33,1,1,2831.0,543.0,700.0,3,W,1,1,0,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,699500,704729,697000.0,1.33,1,0,2813.0,388.0,600.0,7,W,0,0,0,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,588000,590140,582000.0,1.0,1,0,2099.0,370.0,0.0,10,E,1,1,0,"[0, 500)"
Rosedale-Moore Park - Toronto,Condo Apt,679000,696655,670000.0,1.0,1,1,2573.0,747.0,600.0,10,W,1,1,1,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,650000,658963,650000.0,1.33,1,0,2410.0,350.0,500.0,11,E,1,1,0,"[500, 600)"
Waterfront Communities C8 - Toronto,Condo Apt,624900,630335,619000.0,1.33,1,0,2141.0,505.0,600.0,17,SW,1,1,0,"[600, 700)"
