Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Sold_price,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Days_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality
C5144849,Unit 1304 - 501 St Clair Ave W,Casa Loma - Toronto,Condo Apt,649000,634530,2021-03-15 00:00:00,641000.0,1.0,1,1,2414.0,"Condo Apt, Apartment",575.0,0-5,500.0,,"water,heat",3,26.0,2021-03-10 00:00:00,2021-03-15 00:00:00,1850.0,1.74,Bathurst & St Clair,"Concierge, Exercise Room, Gym, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden",E,Toronto
C5143861,Unit 809 - 185 Roehampton Ave,Mount Pleasant East - Toronto,Condo Apt,650000,657802,2021-03-13 00:00:00,645000.0,1.33,1,0,2339.0,"Condo Apt, Apartment",412.0,0-5,600.0,,"water,heat",4,26.0,2021-03-09 00:00:00,2021-03-13 00:00:00,1823.0,1.96,Yonge & Eglinton,,E,Toronto
C5142929,Unit 303 - 1121 Bay St,Bay Street Corridor - Toronto,Condo Apt,659000,683434,2021-03-14 00:00:00,660000.0,1.33,1,1,3047.0,"Condo Apt, Apartment",935.0,,700.0,,"water,hydro,heat",4,41.0,2021-03-09 00:00:00,2021-03-14 00:00:00,1750.0,0.64,Bay St  & Bloor St,"Concierge, Exercise Room",W,Toronto
W5147579,Unit 229 - 1 Old Mill Dr,High Park-Swansea - Toronto,Condo Apt,699000,724856,2021-03-12 00:00:00,721000.0,1.33,1,1,2579.0,"Condo Apt, Apartment",579.0,6-10,600.0,,water,1,23.0,2021-03-11 00:00:00,2021-03-12 00:00:00,2250.0,2.17,Bloor St. W. & South Kingsway,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",NW,Toronto
C5146320,Unit 505W - 27 Bathurst St,Waterfront Communities C1 - Toronto,Condo Apt,630000,654811,2021-03-13 00:00:00,661200.0,1.33,1,1,,"Condo Apt, Apartment",507.0,0-5,500.0,,heat,2,30.0,2021-03-10 00:00:00,2021-03-12 00:00:00,1978.0,2.38,Bathurst & Front,"Bbqs Allowed, Concierge, Games Room, Gym, Outdoor Pool, Party/Meeting Room",S,Toronto
C5146076,Unit 2301 - 197 Yonge St,Church-Yonge Corridor - Toronto,Condo Apt,649000,668267,2021-03-15 00:00:00,682000.0,1.0,1,0,2336.0,"Condo Apt, Apartment",440.0,0-5,500.0,,,2,35.0,2021-03-10 00:00:00,2021-03-15 00:00:00,1584.0,1.43,Yonge & Queen,"Concierge, Exercise Room, Party/Meeting Room, Security Guard",N,Toronto
C5145836,Unit 506 - 138 Princess St,Moss Park - Toronto,Condo Apt,645000,680789,2021-03-14 00:00:00,695000.0,1.33,1,1,2531.0,"Condo Apt, Loft",474.0,,600.0,,"water,heat",2,28.0,2021-03-10 00:00:00,2021-03-14 00:00:00,1968.0,2.0,King & Princess,"Bike Storage, Party/Meeting Room, Security System, Visitor Parking",N,Toronto
C5145115,Unit 1022 - 352 Front St W,Waterfront Communities C1 - Toronto,Condo Apt,599900,634313,2021-03-13 00:00:00,685000.0,1.0,1,1,2213.0,"Condo Apt, Apartment",467.0,0-5,600.0,,"water,heat",2,30.0,2021-03-10 00:00:00,2021-03-13 00:00:00,1773.0,1.84,Front & Blue Jays Way,"Concierge, Exercise Room, Rooftop Deck/Garden, Sauna, Visitor Parking",NW,Toronto
C5144170,Unit 2306 - 68 Shuter St,Church-Yonge Corridor - Toronto,Condo Apt,599000,625134,2021-03-15 00:00:00,610000.0,1.33,1,0,2249.0,"Condo Apt, Apartment",428.0,0-5,500.0,,"water,heat",3,35.0,2021-03-09 00:00:00,2021-03-15 00:00:00,1626.0,1.65,Church St & Shuter St,"Bike Storage, Concierge, Gym, Rooftop Deck/Garden, Sauna, Visitor Parking",W,Toronto
C5143160,Unit 1713 - 125 Western Battery Rd,Niagara - Toronto,Condo Apt,699900,729431,2021-03-12 00:00:00,725000.0,1.33,2,1,2279.0,"Condo Apt, Apartment",408.0,,600.0,,"water,heat",3,25.0,2021-03-09 00:00:00,2021-03-12 00:00:00,2133.0,2.29,King & Strachan,,SW,Toronto
C5142646,Unit 213 - 60 Bathurst St,Niagara - Toronto,Condo Apt,600000,653602,2021-03-15 00:00:00,723000.0,1.0,1,1,2051.0,"Condo Apt, Loft",331.0,,600.0,Apartment,"water,heat",4,25.0,2021-03-08 00:00:00,2021-03-15 00:00:00,1900.0,2.38,Bathurst & King,,S,Toronto
C5142026,Unit 3006 - 33 Bay St,Bay Street Corridor - Toronto,Condo Apt,600000,619540,2021-03-15 00:00:00,725000.0,1.0,1,0,2207.0,"Condo Apt, Apartment",358.0,,500.0,,"water,heat",4,41.0,2021-03-08 00:00:00,2021-03-15 00:00:00,1508.0,1.56,Bay St. & Harbour St.,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Sauna, Tennis Court",NE,Toronto
C5141819,Unit 3107 - 16 Bonnycastle St,Waterfront Communities C8 - Toronto,Condo Apt,609800,625652,2021-03-12 00:00:00,609800.0,1.0,1,0,2123.0,"Condo Apt, Apartment",358.0,0-5,0.0,,,4,33.0,2021-03-08 00:00:00,2021-03-12 00:00:00,1683.0,1.91,Sherbourne & Queens Quay E,"Bus Ctr (Wifi Bldg), Exercise Room, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Security Guard",SE,Toronto
C5140906,Unit 2412 - 170 Fort York Blvd,Waterfront Communities C1 - Toronto,Condo Apt,595000,602011,2021-03-15 00:00:00,610000.0,1.0,1,0,1931.0,"Condo Apt, Apartment",488.0,,500.0,,"water,heat",5,30.0,2021-03-07 00:00:00,2021-03-15 00:00:00,1583.0,1.59,Bathurst & Fort York,,W,Toronto
C5140864,Unit 802 - 510 King St E,Moss Park - Toronto,Condo Apt,636000,665650,2021-03-12 00:00:00,691500.0,1.0,1,1,2693.0,"Condo Apt, Apartment",558.0,6-10,700.0,,"water,heat",5,28.0,2021-03-07 00:00:00,2021-03-12 00:00:00,1995.0,1.95,King & River & Sumach,"Bike Storage, Concierge, Exercise Room, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",SW,Toronto
C5139766,Unit 611 - 775 King St W,Niagara - Toronto,Condo Apt,699000,709770,2021-03-15 00:00:00,690000.0,1.0,1,0,2279.0,"Condo Apt, Apartment",286.0,6-10,600.0,,"water,heat",7,24.0,2021-03-05 00:00:00,2021-03-15 00:00:00,1583.0,1.68,King & Tecumseth,"Guest Suites, Gym, Party/Meeting Room, Rooftop Deck/Garden, Security System",W,Toronto
C5139163,Unit 3112 - 181 Dundas St E,Church-Yonge Corridor - Toronto,Condo Apt,589900,605777,2021-03-15 00:00:00,625000.0,1.33,1,0,1900.0,"Condo Apt, Apartment",398.0,,500.0,,heat,7,36.0,2021-03-05 00:00:00,2021-03-15 00:00:00,1608.0,1.77,Dundas & Jarvis,"Bike Storage, Bus Ctr (Wifi Bldg), Concierge, Gym, Media Room, Rooftop Deck/Garden",N,Toronto
C5138955,Unit 1602 - 17 Dundonald St,Church-Yonge Corridor - Toronto,Condo Apt,669000,706316,2021-03-15 00:00:00,780000.0,2.0,2,1,3509.0,"Condo Apt, Apartment",706.0,0-5,700.0,,heat,7,36.0,2021-03-05 00:00:00,2021-03-15 00:00:00,2677.0,2.42,Yonge & Wellesley,"Bike Storage, Guest Suites, Gym, Party/Meeting Room, Security System, Visitor Parking",NW,Toronto
